1,Belfast,280962,City
2,Lisburn,120165,City
3,Derry,107877,City
4,Newry and Mourne,99480,District
5,Craigavon,93023,Borough
6,Newtownabbey,85139,Borough
7,North Down,79900,Borough
8,Ards,78937,Borough
9,Down,69731,District
10,Castlereagh,67242,Borough
11,Ballymena,64044,Borough
12,Fermanagh,61805,District
13,Armagh,59349,City and District
14,Coleraine,59067,Borough
15,Dungannon and South Tyrone,57852,Borough
16,Antrim,53428,Borough
17,Omagh,51356,District
18,Banbridge,48339,District
19,Magherafelt,45038,District
20,Strabane,39384,District
21,Carrickfergus,39114,Borough
22,Cookstown,37013,District
23,Limavady,33536,Borough
24,Larne,32180,Borough
25,Ballymoney,31224,Borough
26,Moyle,17050,District
