Angus,116200
Dundee City,147200
Clackmannanshire,51500
Fife,365300
East Lothian,99920
Midlothian,83450
Scottish Borders,113880
"Edinburgh, City of",477940
Falkirk,156250
Perth & Kinross,146850
Stirling,90330
West Lothian,175300
Helensburgh & Lomond,26528
West Dunbartonshire,90610
East Dunbartonshire,105000
Dumfries & Galloway,151410
East Ayrshire,122690
North Ayrshire mainland,131999
Glasgow City,593060
East Renfrewshire,90810
Renfrewshire,174700
Inverclyde,81220
North Lanarkshire,337720
South Ayrshire,112980
South Lanarkshire,313900
Aberdeen City,222460
Aberdeenshire,253650
Ross & Cromarty,55601
Caithness & Sutherland,39808
Inverness & Nairn,90852
Badenoch & Strathspey,13582
West Moray,23242
North East Moray,70228
Arran & Cumbrae,6091
Argyll & Bute Islands,7378
Argyll & Islands LEC (Rest of),55024
Lochaber,19977
Skye & Lochalsh,12910
Eilean Siar (Western Isles),27690
Orkney Islands,21420
Shetland Islands,23240
